-	C4	C10	C1	C7	C6	C3	C5	C8	C2	C9
ENSG00000228463	0	0	0	0	0	0	0	0	0	0
ENSG00000225880	0	0	0	0	0	0	0	0	0	0
ENSG00000228794	0	0	0	0	0	0	0	0	0	0
ENSG00000230699	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	0	0	0	0	0	0	0	0	0	0
ENSG00000187634	0.688459626850767	0.0301834256925302	-0.0157389552624026	0.377633985613755	-1.43471155482745	1.42583408793992	0.368896886426489	-0.592220130016403	0.888121168470648	-1.73645854088785
ENSG00000188976	1.44172312646555	-1.79495268797575	-0.689921953367666	0.959953947379874	-0.346022512608881	-0.385814647799258	-0.252895787597558	1.38127034439898	-0.0774995218162486	-0.235840307079049
ENSG00000187961	-0.401281254272205	0.0720653909892419	-0.54964782640163	0.226068472867904	-0.611630016998701	-0.809847871601909	-0.553996575219369	1.13695187933088	-0.793663875854992	2.28498167716078
ENSG00000187583	-0.447284026308087	-0.772136067506283	-0.276074154375279	0.138838925986149	1.34940329535862	-0.831400330905069	-0.512831503767539	2.21691408378225	-0.580946353277167	-0.2844838689876
ENSG00000187642	-0.291925906979689	-0.214934497567508	0.535737745871765	0.0860555005100633	0.555383247677616	-0.776490017849978	0.730543363216469	1.94628168939161	-1.14941194234084	-1.42123918192951
ENSG00000188290	0	0	0	0	0	0	0	0	0	0
ENSG00000187608	0.214588753052594	-1.22362551190136	0.384963267474726	-0.812380334204296	-0.81283076414223	0.702613488540855	0.896713977671435	1.95790676932464	-0.679598741919478	-0.628350903896888
ENSG00000188157	-0.810267207822093	1.24056751445524	-0.918829619218225	1.01297097284779	0.981965628615358	-0.974789031521662	-0.921267648784731	0.771147636007784	-1.05777215218524	0.676273907605787
ENSG00000217801	0	0	0	0	0	0	0	0	0	0
ENSG00000131591	0.718423890990346	0.605706366284621	-0.964459750427619	0.972060865567326	1.69076192695515	-0.936965048705386	-0.122347593247847	-0.727964290108535	0.156194730439083	-1.39141109774714
ENSG00000223823	0	0	0	0	0	0	0	0	0	0
ENSG00000162571	-0.907787709791895	-0.519401840230377	-0.0389845882451098	1.69021997839088	-0.182593073651933	-0.907787709791895	-0.74806096027715	1.27003756458366	-0.817386170346998	1.16174450936082
ENSG00000186891	-0.353827575553328	-0.798838095662105	-0.60893221574732	1.74653423420459	-0.143964533496858	1.88159886235472	-0.0594373126458906	-0.114416577453946	-0.63569041831902	-0.913026367680837
ENSG00000186827	-0.00920769132536581	-0.529621233965079	2.06259791440453	-0.785468554486572	0.266501800459749	1.37278092331999	-0.4197740040526	-0.233663282850852	-0.565891699058692	-1.15825417244511
ENSG00000078808	0.913661964326492	-0.303835945687749	0.678983419917062	-0.960457638581028	-0.499088131467487	2.12666272456502	-0.375095589506734	-1.30068477809494	-0.291576106706004	0.011430081235371
